시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
경기도,연천군,전곡읍,444,"1,171,700","1,018,200"
경기도,연천군,청산면,438,"1,161,400","1,010,100"
경기도,연천군,백학면,452,"1,185,500","1,029,900"
경기도,연천군,장남면,449,"1,180,500","1,025,400"
강원도,춘천시,동면,422,"1,133,400","988,400"
강원도,춘천시,동산면,402,"1,098,400","960,800"
강원도,춘천시,남면,418,"1,126,500","982,900"
강원도,춘천시,남산면,422,"1,133,400","988,400"
강원도,춘천시,후평1동,418,"1,126,500","982,900"
강원도,원주시,문막읍,341,"987,600","872,700"
강원도,원주시,소초면,348,"1,002,100","884,400"
강원도,원주시,지정면,342,"989,600","874,400"
강원도,원주시,부론면,312,"926,800","823,800"
강원도,원주시,우산동,338,"981,300","867,800"
강원도,원주시,태장1동,337,"979,200","866,100"
강원도,강릉시,옥계면,484,"1,240,300","1,077,700"
강원도,강릉시,성덕동,466,"1,209,600","1,050,900"
강원도,강릉시,경포동,466,"1,209,600","1,050,900"
강원도,동해시,송정동,339,"983,400","869,400"
강원도,동해시,북삼동,338,"981,300","867,800"
강원도,동해시,북평동,336,"977,300","864,400"
강원도,고성군,간성읍,538,"1,331,700","1,157,200"
충청북도,충주시,주덕읍,284,"865,400","773,400"
충청북도,충주시,앙성면,300,"901,700","803,200"
충청북도,충주시,산척면,303,"908,000","808,400"
충청북도,충주시,대소원면,282,"861,300","769,800"
충청북도,충주시,중앙탑면,288,"873,800","780,300"
충청북도,충주시,달천동,279,"855,500","764,700"
충청북도,충주시,칠금금릉동,289,"875,900","782,200"
충청북도,충주시,목행용탄동,292,"882,400","787,300"
충청북도,청주시 상당구,가덕면,269,"833,200","726,700"
충청북도,청주시 흥덕구,오송읍,287,"871,800","778,600"
충청북도,청주시 흥덕구,강내면,284,"865,400","773,400"
충청북도,청주시 흥덕구,옥산면,286,"869,500","776,700"
충청북도,청주시 흥덕구,복대1동,286,"869,500","776,700"
충청북도,청주시 흥덕구,봉명1동,288,"873,800","780,300"
충청북도,청주시 흥덕구,봉명2송정동,287,"871,800","778,600"
